source,link_type,target,para,weight
D_4_CMA_1,type,4_CMA_1,,1
D_4_CMA_1,type,1_CP_21,,13
D_4_CMA_1,type,9_CMA_1,,1
D_4_CMA_1,type,18_CMA_1,,1
D_4_CP_20,type,4_CP_20,,1
D_4_CP_20,type,2_CP_17,,1
D_4_CP_20,type,36_CP_7,,1
D_6_CP_20,type,6_CP_20,,1
D_6_CP_20,type,1_CP_16,,3
D_6_CP_20,type,2_CP_17,,4
D_6_CP_20,type,5_CP_18,,1
D_6_CP_20,type,7_CP_19,,1
D_6_CP_20,type,11_CP_20,,1
D_6_CP_20,type,12_CP_17,,1
D_6_CP_20,type,9_CP_19,,1
D_6_CP_20,type,15_CP_19,,1
D_2_CP_20,type,2_CP_20,,1
D_2_CP_20,type,3_CP_18,,1
D_2_CP_20,type,2_CP_19,,2
D_2_CP_20,type,23_CP_18,,1
D_7_CP_20,type,7_CP_20,,1
D_7_CP_20,type,11_CP_1,,1
D_7_CP_20,type,1_CP_16,,2
D_7_CP_20,type,3_CP_17,,3
D_7_CP_20,type,1_CP_18,,1
D_7_CP_20,type,6_CP_18,,3
D_7_CP_20,type,7_CP_18,,1
D_7_CP_20,type,4_CP_19,,4
D_7_CP_20,type,5_CP_19,,3
D_7_CP_20,type,2_CP_17,,1
D_7_CP_20,type,12_CP_17,,1
D_7_CP_20,type,9_CP_19,,1
D_7_CP_20,type,10_CP_19,,1
D_7_CP_20,type,11_CP_19,,1
D_7_CP_20,type,12_CP_19,,1
D_7_CP_20,type,13_CP_19,,1
D_7_CP_20,type,14_CP_19,,1
D_7_CP_20,type,15_CP_19,,1
D_7_CP_19,type,7_CP_19,,1
D_7_CP_19,type,9_CP_19,,1
D_5_CP_20,type,5_CP_20,,1
D_5_CP_20,type,1_CP_16,,1
D_5_CP_20,type,1_CP_17,,1
D_5_CP_20,type,2_CP_17,,1
D_5_CP_20,type,4_CP_18,,1
D_5_CP_20,type,3_CP_19,,7
D_5_CP_20,type,11_CP_20,,1
D_5_CP_20,type,6_CP_20,,1
D_1_CP_20,type,1_CP_20,,1
D_1_CP_20,type,1_CP_17,,2
D_1_CP_20,type,2_CP_18,,1
D_1_CP_20,type,1_CP_19,,2
D_1_CP_20,type,2_CP_19,,1
D_1_CP_20,type,2_CP_20,,1
D_1_CP_20,type,1_CP_13,,1
D_1_CP_20,type,2_CP_7,,1
D_1_CP_20,type,2_CP_17,,3
D_1_CP_20,type,1_CP_16,,1
D_3_CP_20,type,3_CP_20,,1
D_3_CP_20,type,1_CP_16,,1
D_3_CP_20,type,5_CP_17,,2
D_3_CP_20,type,12_CP_18,,1
D_3_CP_20,type,18_CP_19,,1
D_9_CP_20,type,9_CP_20,,1
D_9_CP_20,type,3_CP_4,,1
D_9_CP_20,type,1_CP_16,,2
D_9_CP_20,type,2_CP_16,,1
D_9_CP_20,type,8_CP_19,,3
D_9_CP_20,type,11_CP_1,,1
D_11_CP_20,type,11_CP_20,,1
D_11_CP_20,type,9_CP_2,,1
D_11_CP_20,type,11_CP_4,,1
D_11_CP_20,type,4_CP_5,,1
D_11_CP_20,type,1_CP_16,,1
D_11_CP_20,type,2_CP_17,,6
D_11_CP_20,type,5_CP_18,,1
D_10_CP_20,type,10_CP_20,,1
D_10_CP_20,type,6_CP_9,,1
D_10_CP_20,type,3_CP_11,,1
D_10_CP_20,type,5_CP_14,,1
D_10_CP_20,type,5_CP_16,,1
D_10_CP_20,type,9_CP_17,,1
D_10_CP_20,type,10_CP_18,,1
D_10_CP_20,type,5_CP_7,,1
D_8_CP_20,type,8_CP_20,,1
D_8_CP_20,type,12_CP_2,,1
D_8_CP_20,type,3_CP_16,,1
D_8_CP_20,type,5_CP_16,,1
D_8_CP_20,type,7_CP_16,,1
D_8_CP_20,type,11_CP_17,,1
D_8_CP_20,type,9_CP_18,,1
D_8_CP_20,type,6_CP_19,,1
D_12_CP_20,type,12_CP_20,,1
D_12_CP_20,type,6_CP_1,,1
D_12_CP_20,type,6_CP_2,,1
D_12_CP_20,type,25_CP_7,,1
D_12_CP_20,type,5_CP_13,,1
